#### EXPORT DONNEES METEO POUR "AJACCIO (CORSE-DU-SUD)" (LAT/LON: 41.919229/8.738635)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,13,5,8,5,13,8,0.6,90,8.75,1025,50.375,13,11,3,116,116,263,0,3,7,météo correcte
2009-01-02,9,5,14,5,9,6,16.3,91,7.875,1020,71.125,9,8,3,266,302,299,0,3,3.6,météo très défavorable
2009-01-03,10,7,24,9,8,2,2.9,89,6.125,1016,71.375,10,8,4,266,263,176,0,2,5.3,météo défavorable
2009-01-04,7,0,14,-0,7,4,0.1,85,10,1017,10,7,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-05,10,1,15,1,10,7,0,73,10,1014,5.875,10,4,1,113,113,113,0,3,8.7,météo très défavorable
2009-01-06,9,6,14,6,9,6,2.6,84,7.875,1012,51,9,6,4,113,266,293,0,3,3.6,météo défavorable
2009-01-07,11,3,19,3,11,4,6.8,91,7.75,1013,66,11,8,-2,302,353,119,0,2,7,météo très défavorable
2009-01-08,9,5,11,5,9,5,1.7,88,7.875,1019,38.25,9,6,3,263,263,176,0,3,8.7,météo très défavorable
2009-01-09,10,5,19,5,10,5,5.2,90,7.25,1022,53.875,10,8,1,293,263,353,0,2,8.7,météo très défavorable
2009-01-10,10,3,16,3,10,4,2.7,89,8.625,1024,58.625,10,6,-1,263,116,119,0,2,7,météo très défavorable
2009-01-11,10,3,17,3,10,5,0.3,86,9,1027,47.875,10,6,-1,116,116,116,0,2,8.7,météo très défavorable
2009-01-12,12,7,17,7,12,9,0,91,10,1026,31.25,12,8,4,116,113,116,0,3,8.7,météo défavorable
2009-01-13,11,9,18,9,11,8,5.9,91,8.5,1020,70.25,11,9,6,116,119,296,0,2,3.6,météo défavorable
2009-01-14,10,4,23,4,9,6,9.5,87,8.75,1010,38.875,10,7,0,293,299,113,0,2,7,météo très défavorable
2009-01-15,10,7,15,7,10,6,1.2,85,8.875,1017,35.25,10,6,5,116,176,113,0,3,7,météo défavorable
2009-01-16,12,7,12,7,11,6,0.1,89,10,1024,24.125,12,9,5,113,116,116,0,3,8.7,météo défavorable
2009-01-17,11,6,9,6,11,5,0,89,10,1025,27.5,11,6,4,113,116,113,0,3,8.7,météo défavorable
2009-01-18,12,6,15,6,12,7,0.1,85,10,1024,40.25,12,8,5,113,116,119,0,3,8.7,météo défavorable
2009-01-19,12,11,26,11,12,11,2.9,94,8.25,1017,89.375,12,11,8,122,122,122,0,3,3.7,météo défavorable
2009-01-20,13,12,41,13,13,12,38.3,96,6.75,1004,90.875,13,12,9,302,308,302,0,3,3.7,météo très défavorable
2009-01-21,11,7,21,7,11,7,0,80,10,1006,30.875,11,7,4,116,113,113,0,3,8.7,météo défavorable
2009-01-22,8,7,22,7,8,5,0.1,79,10,1007,21.5,8,4,4,113,113,113,0,3,8.7,météo très défavorable
2009-01-23,12,6,19,6,10,12,11.8,96,8.625,1003,61.25,12,11,4,116,122,302,0,3,5.4,météo défavorable
2009-01-24,13,6,37,6,12,7,27,93,7,993,70.75,13,12,3,266,308,302,0,3,5.4,météo très défavorable
