#### EXPORT DONNEES METEO POUR "AUBUSSON" (LAT/LON: 45.95409/2.1689379)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,5,0,17,-0,5,0,0,86,10,1026,19.625,5,0,-5,116,116,113,0,2,8.7,météo très défavorable
2009-01-02,4,-2,18,-2,4,-2,0,64,10,1024,7.75,4,0,-7,116,113,113,0,2,8.7,météo très défavorable
2009-01-03,1,-5,23,-5,1,-4,0,87,10,1023,4,1,0,-12,113,113,113,0,2,8.7,météo très défavorable
2009-01-04,2,-5,11,-5,2,-6,0,52,10,1024,9.375,2,0,-11,113,113,113,0,2,8.7,météo très défavorable
2009-01-05,-0,-9,5,-9,-0,-4,0.2,74,9.375,1021,41.625,0,0,-11,116,116,323,0.2,2,8.7,météo très défavorable
2009-01-06,-4,-7,21,-7,-4,-6,0.4,89,9,1019,62,0,0,-13,116,116,119,0.3,1,5.1,météo très défavorable
2009-01-07,-5,-7,23,-7,-5,-7,0.2,91,9.375,1023,61,0,0,-14,122,116,113,0.2,1,6.9,météo très défavorable
2009-01-08,-3,-9,23,-9,-3,-6,0,94,10,1025,19.5,0,0,-16,116,113,113,0,2,8.7,météo très défavorable
2009-01-09,4,-6,14,-6,4,-1,0,91,10,1027,10.375,4,0,-9,113,113,113,0,2,8.7,météo très défavorable
2009-01-10,5,-3,10,-3,5,-1,0,74,10,1029,15.5,5,0,-7,116,113,113,0,2,8.7,météo très défavorable
2009-01-11,7,-2,9,-2,7,-2,0,63,10,1032,0,7,0,-6,113,113,113,0,2,8.7,météo très défavorable
2009-01-12,7,-2,17,-2,7,1,0,65,10,1030,16,7,0,-6,113,113,113,0,2,8.7,météo très défavorable
2009-01-13,6,1,17,1,6,2,1.3,65,8.875,1022,75.375,6,1,-3,116,122,266,0,2,3.4,météo très défavorable
2009-01-14,3,2,11,2,3,2,3.7,98,7,1020,89.25,3,2,-1,317,317,317,0,1,3.4,météo très défavorable
2009-01-15,7,-2,16,-2,7,1,0,87,8,1019,17.25,7,0,-7,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,8,2,19,2,8,4,0,90,9,1022,35,8,4,-3,113,113,143,0,2,6.9,météo très défavorable
2009-01-17,8,4,26,4,7,4,0,93,10,1023,43.875,8,4,0,116,116,116,0,2,8.7,météo très défavorable
2009-01-18,6,5,42,6,6,5,9,95,8,1018,68.875,6,5,-0,116,302,119,0,3,3.4,météo très défavorable
2009-01-19,8,7,42,8,7,6,21.8,94,8,1010,90.25,8,7,2,302,302,302,0,2,3.4,météo très défavorable
2009-01-20,4,2,19,2,4,3,1.2,96,7.625,1003,77,4,2,-2,119,119,338,1,1,3.4,météo très défavorable
2009-01-21,2,1,17,1,2,1,1.9,95,5.625,1013,65.125,2,1,-4,338,338,329,1.5,1,3.4,météo très défavorable
2009-01-22,6,2,37,2,4,5,13.5,94,5.875,1012,71.75,6,5,-4,176,302,266,0.1,2,5.2,météo très défavorable
2009-01-23,11,7,49,11,8,4,16.3,96,8.75,996,76.375,11,10,3,302,122,116,0,2,5.2,météo très défavorable
2009-01-24,5,1,38,5,3,2,19.8,99,6,1005,84.5,5,5,-6,302,317,338,2.6,1,3.5,météo très défavorable
2009-01-25,7,1,24,1,7,4,3.8,96,9.75,1004,58.5,7,3,-4,116,116,296,0,2,7,météo très défavorable
2009-01-26,5,2,13,2,4,4,2.7,97,6.25,1006,82.625,5,4,-1,143,122,143,0.2,1,3.5,météo très défavorable
2009-01-27,4,-1,11,-1,3,2,0,98,3.25,1017,57.75,4,2,-3,260,119,143,0,1,3.5,météo très défavorable
2009-01-28,6,-3,9,-3,6,1,0,96,6.5,1017,23.75,6,0,-5,143,113,116,0,1,8.7,météo très défavorable
2009-01-29,8,-3,13,-3,6,0,0,73,10,1017,2.875,8,0,-6,113,113,113,0,2,8.7,météo très défavorable
2009-01-30,9,0,13,-0,9,3,0,61,10,1018,27,9,1,-4,116,113,113,0,2,8.7,météo très défavorable
2009-01-31,9,2,15,2,9,6,0.1,92,10,1011,61.375,9,7,-2,116,116,122,0,3,7,météo très défavorable
2009-02-01,5,4,10,4,5,4,3.7,95,5.5,1004,84.5,5,3,2,296,266,293,0,1,3.5,météo très défavorable
2009-02-02,7,5,23,5,7,4,4.3,93,5.75,996,90.75,7,6,1,119,122,143,0.3,2,3.5,météo très défavorable
2009-02-03,4,-2,4,-2,2,-2,1,93,7.375,1003,45.625,4,1,-5,335,113,116,0.9,1,9.9,météo très défavorable
2009-02-04,10,0,27,0,10,4,0.4,79,9.375,1000,29.25,10,3,-4,116,113,113,0,3,9.9,météo très défavorable
2009-02-05,10,4,27,4,9,5,0.5,88,9.875,995,46.375,10,4,-0,119,119,113,0,2,9.9,météo très défavorable
2009-02-06,9,2,18,2,9,4,1.9,94,8.875,994,54.125,9,5,-1,116,116,143,0,3,8.3,météo très défavorable
2009-02-07,3,-1,29,2,-0,-1,1.7,94,7.875,1002,96.875,3,3,-7,122,122,122,1.2,1,5,météo très défavorable
2009-02-08,2,-2,13,-2,1,-2,0.3,96,9.375,1011,66.125,2,0,-6,122,119,113,0.3,1,8.3,météo très défavorable
2009-02-09,9,3,33,3,5,9,6.9,98,6.625,1011,90.5,9,8,-1,266,296,296,0,2,5,météo très défavorable
2009-02-10,9,5,47,5,6,2,4.3,91,8.625,1018,71,9,7,-2,296,119,113,0,1,8.3,météo très défavorable
2009-02-11,3,0,17,-0,3,2,0.5,97,7,1021,75.25,3,1,-5,371,329,119,0.4,1,5.1,météo très défavorable
2009-02-12,2,1,23,1,1,-2,1.9,97,7,1026,68.75,2,1,-5,338,335,116,1.6,1,8.4,météo très défavorable
