#### EXPORT DONNEES METEO POUR "BREST (FINISTèRE)" (LAT/LON: 48.390394/-4.486076)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,5,3,22,3,4,5,3.6,83,8.125,1024,82.375,5,2,-2,119,266,296,0,1,2.1,météo très défavorable
2009-01-02,6,4,31,4,6,3,0.3,81,9.375,1025,37,6,1,0,116,113,113,0,1,5.8,météo très défavorable
2009-01-03,4,0,29,0,4,2,0,80,10,1026,1.375,4,0,-6,113,113,113,0,2,5.8,météo très défavorable
2009-01-04,4,-2,8,-2,4,0,0,82,10,1026,38.25,5,1,-4,116,116,119,0,2,5.8,météo très défavorable
2009-01-05,7,4,21,4,7,5,1.7,88,8.75,1021,82.875,7,4,0,119,296,317,0,3,2.1,météo très défavorable
2009-01-06,3,2,23,2,3,1,1,81,7.75,1024,60.375,3,0,-3,119,338,323,0.7,1,3.9,météo très défavorable
2009-01-07,4,-1,19,-1,4,3,0.2,81,9,1028,36.625,4,2,-5,116,113,119,0,2,5.8,météo très défavorable
2009-01-08,6,5,18,5,6,5,1.3,88,7.375,1029,68.625,6,3,2,266,263,116,0,2,2.1,météo très défavorable
2009-01-09,5,-2,14,-2,4,1,0,85,10,1027,0,5,0,-7,113,113,113,0,2,5.8,météo très défavorable
2009-01-10,7,0,12,0,7,4,0,75,10,1028,13.625,7,0,-2,113,113,113,0,2,5.8,météo très défavorable
2009-01-11,10,7,41,7,10,10,0,86,10,1027,18.125,10,7,3,116,113,116,0,3,5.8,météo défavorable
2009-01-12,12,10,46,10,11,12,12,92,8.625,1021,62,12,11,6,122,389,299,0,4,2.1,météo défavorable
2009-01-13,10,9,24,9,10,7,1,93,9.75,1016,25.25,10,8,6,113,176,113,0,3,5.8,météo défavorable
