#### EXPORT DONNEES METEO POUR "CALAIS" (LAT/LON: 50.95129/1.858686)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,2,13,2,3,1,0,87,10,1030,15.125,3,0,-2,113,113,113,0,2,8,météo très défavorable
2009-01-02,5,1,18,1,5,3,0.1,82,10,1030,46.25,5,1,-1,116,119,323,0,1,4.9,météo très défavorable
2009-01-03,2,-1,21,-1,2,1,0,81,10,1031,21,2,0,-6,113,113,116,0,2,8,météo très défavorable
2009-01-04,2,1,28,1,2,2,0,72,10,1026,38.125,2,0,-4,113,113,119,0,2,8.5,météo très défavorable
2009-01-05,4,1,42,4,2,0,3.3,91,5.625,1025,62.625,4,2,-5,296,230,113,1.2,1,5,météo très défavorable
2009-01-06,-0,-1,27,-1,-0,-1,0,70,10,1026,6.5,0,0,-8,113,113,113,0,2,8.5,météo très défavorable
2009-01-07,5,0,20,-0,4,5,0.2,89,10,1027,65,5,4,-5,116,119,119,0,2,3.2,météo très défavorable
2009-01-08,5,2,13,3,3,0,0.1,88,10,1030,26.125,5,3,-1,113,113,113,0,1,8.5,météo très défavorable
2009-01-09,-1,-3,12,-3,-1,-3,0,78,10,1030,4.75,0,0,-8,113,113,113,0,2,8.5,météo très défavorable
2009-01-10,1,-4,15,-4,1,0,0,82,10,1029,6.375,1,0,-8,113,113,113,0,2,8.6,météo très défavorable
2009-01-11,6,3,34,3,6,5,0,71,10,1028,22,6,3,-2,113,113,116,0,2,8.6,météo très défavorable
2009-01-12,8,5,45,5,6,7,2.9,85,8.625,1023,68.125,8,6,-1,116,119,122,0,3,5.1,météo très défavorable
2009-01-13,8,7,31,8,7,7,4.5,94,7.625,1012,93.25,8,7,3,266,122,122,0,2,3.2,météo très défavorable
2009-01-14,6,4,9,4,6,5,0.2,90,9.875,1016,31.375,6,5,2,116,113,116,0,2,8.6,météo très défavorable
2009-01-15,5,3,29,3,5,5,0,85,10,1017,55.875,5,3,-3,113,119,119,0,2,5.1,météo très défavorable
2009-01-16,7,3,27,3,5,6,0.8,88,8.75,1018,82.625,7,5,-2,122,263,122,0,2,3.3,météo très défavorable
2009-01-17,8,6,46,6,8,8,4.7,90,9.625,1016,72.875,8,6,1,122,299,116,0,2,6.9,météo très défavorable
2009-01-18,9,6,38,7,6,6,7.3,87,9.375,1002,44.125,9,7,2,293,116,113,0,2,8.7,météo défavorable
2009-01-19,8,5,52,5,8,5,12.3,94,8.125,1001,81.625,8,7,-1,296,299,389,0,2,3.3,météo très défavorable
2009-01-20,6,5,32,6,6,5,5.6,88,9.25,998,74.375,6,4,1,176,353,389,0,3,5.1,météo très défavorable
2009-01-21,6,5,26,5,6,6,0.3,85,10,1006,63.875,6,3,0,116,353,116,0,2,3.3,météo très défavorable
2009-01-22,9,5,55,5,8,8,8,92,8.375,1002,82.75,9,7,-1,122,302,113,0,2,3.3,météo très défavorable
2009-01-23,9,5,63,9,5,5,5.8,94,8.5,985,79,9,8,-2,353,296,296,0,2,5.1,météo très défavorable
2009-01-24,6,4,20,4,5,5,0,85,10,996,23.75,6,2,1,113,116,113,0,2,8.7,météo très défavorable
2009-01-25,5,4,52,4,5,5,10.9,90,9.125,995,80.375,5,4,-2,116,302,296,0,1,3.4,météo très défavorable
2009-01-26,7,5,15,5,7,6,1.7,92,8.875,1007,70.5,7,5,2,119,116,116,0,2,6.9,météo très défavorable
2009-01-27,6,4,14,5,6,4,0.1,89,10,1017,30.375,6,4,3,113,116,113,0,2,8.7,météo très défavorable
2009-01-28,5,2,20,2,5,4,0,89,10,1018,28.375,5,2,-2,113,116,116,0,2,6.9,météo très défavorable
2009-01-29,4,1,21,1,4,3,0,81,10,1019,13.5,4,0,-4,113,113,113,0,2,8.7,météo très défavorable
2009-01-30,6,2,31,2,5,4,0,83,10,1020,14.625,6,0,-4,116,113,113,0,2,8.7,météo très défavorable
2009-01-31,5,1,36,2,4,3,0,70,10,1016,23.75,5,0,-5,116,116,113,0,2,8.7,météo très défavorable
2009-02-01,1,0,42,-0,1,1,0.7,84,5,1014,53.5,1,0,-7,113,230,230,0,2,5.2,météo très défavorable
2009-02-02,3,0,38,-0,1,3,8.2,92,2.75,1005,92.875,3,3,-7,227,230,302,0,1,3.4,météo très défavorable
2009-02-03,4,2,26,2,3,1,0.6,79,9.875,1001,19.625,4,2,-3,113,113,113,0,1,8.7,météo très défavorable
