#### EXPORT DONNEES METEO POUR "LAON (AISNE)" (LAT/LON: 49.564133/3.61989)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-3,11,-3,1,-4,0,91,10,1029,11.125,1,0,-5,113,116,113,0,2,8.1,météo très défavorable
2009-01-02,-0,-5,14,-5,-1,-2,0,80,10,1028,21.125,0,0,-10,113,116,116,0,2,8.2,météo très défavorable
2009-01-03,0,-4,14,-4,0,-4,0,95,10,1029,21.125,0,0,-9,116,113,113,0,1,8.2,météo très défavorable
2009-01-04,-1,-5,13,-5,-1,-3,0,76,10,1026,45.25,0,0,-9,113,113,119,0,2,6.9,météo très défavorable
2009-01-05,-1,-2,18,-2,-1,-1,7.3,94,2.75,1022,99.625,0,0,-6,338,338,338,6.2,1,3.2,météo très défavorable
2009-01-06,-3,-8,21,-7,-5,-8,0.4,94,9.375,1025,18.375,0,0,-15,113,113,113,0.3,1,8.6,météo très défavorable
2009-01-07,-3,-11,9,-11,-3,-3,0.1,92,7.75,1026,35,0,0,-15,113,113,143,0,2,6.9,météo très défavorable
2009-01-08,-1,-4,14,-4,-1,-6,0.3,95,8,1029,19.375,0,0,-10,143,113,113,0.3,1,8.7,météo très défavorable
2009-01-09,-5,-9,11,-9,-5,-8,0,92,10,1030,3.375,0,0,-14,113,113,113,0,2,8.7,météo très défavorable
2009-01-10,-3,-9,11,-9,-3,-6,0,91,10,1030,0.25,0,0,-13,113,113,113,0,2,8.7,météo très défavorable
2009-01-11,0,-5,21,-5,0,-2,0,76,10,1031,10,0,0,-10,113,113,113,0,2,8.7,météo très défavorable
2009-01-12,3,-2,29,-2,2,2,0.2,85,9.375,1028,29.375,3,1,-8,113,116,116,0,2,8.7,météo très défavorable
2009-01-13,3,2,21,3,2,1,14.4,95,7.875,1016,99.5,3,2,-3,302,296,296,0,1,3.3,météo très défavorable
2009-01-14,5,3,13,3,5,3,0.7,97,3.5,1018,79.125,5,4,-0,248,116,143,0,1,5.1,météo très défavorable
2009-01-15,4,0,19,0,4,1,0.1,95,10,1019,24.25,4,2,-5,113,113,116,0,2,8.7,météo très défavorable
2009-01-16,4,0,23,-0,3,3,0.3,87,9.375,1020,64.125,4,2,-5,122,116,263,0,1,6.9,météo très défavorable
2009-01-17,7,4,30,4,5,6,2.5,95,7,1019,78.125,7,6,-1,263,296,263,0,2,5.1,météo très défavorable
2009-01-18,8,5,30,7,5,3,18,99,7.5,1008,79.75,8,6,0,302,389,176,0,2,5.1,météo très défavorable
2009-01-19,8,5,48,5,8,6,18.3,97,7.375,1005,90.375,8,7,-1,302,302,302,0,2,3.3,météo très défavorable
2009-01-20,5,1,19,1,5,3,0.3,93,9,1000,49.5,5,3,-4,116,116,122,0,2,6.9,météo très défavorable
2009-01-21,5,1,15,1,5,1,0,97,8,1008,42.875,5,2,-3,143,113,116,0,2,6.9,météo très défavorable
2009-01-22,6,3,45,3,3,6,9,96,7.25,1006,88.125,6,5,-4,296,302,296,0,2,3.4,météo très défavorable
2009-01-23,9,5,42,8,6,5,22.8,96,6.25,988,85.875,9,8,-1,389,302,266,0,2,3.4,météo très défavorable
2009-01-24,5,1,12,1,5,2,0,97,8,999,56.25,5,2,-1,143,119,119,0,2,3.4,météo très défavorable
2009-01-25,5,1,32,1,5,3,0.1,94,10,999,59,5,2,-5,119,116,119,0,2,5.2,météo très défavorable
2009-01-26,5,2,12,2,5,4,0.5,95,7,1007,88.5,5,3,-2,143,122,119,0,1,3.4,météo très défavorable
2009-01-27,5,2,11,3,5,1,0.4,93,9,1017,31.375,5,3,0,116,113,113,0,1,8.7,météo très défavorable
2009-01-28,4,-2,13,-2,4,-1,0,91,10,1018,27.375,4,0,-6,113,116,116,0,2,8.7,météo très défavorable
2009-01-29,3,-2,14,-2,3,-1,0,94,9,1021,20.125,3,0,-7,143,113,113,0,2,8.7,météo très défavorable
2009-01-30,4,-2,26,-2,4,0,0,87,10,1021,18.75,4,0,-7,113,113,113,0,2,8.7,météo très défavorable
2009-01-31,3,-1,28,-1,3,-1,0,70,10,1016,15.875,3,0,-7,113,113,113,0,2,8.7,météo très défavorable
2009-02-01,1,-3,31,-3,1,-2,0.1,85,9.375,1013,48.375,1,0,-9,113,116,122,0.1,2,7,météo très défavorable
2009-02-02,3,-1,30,-1,1,2,8.8,95,5.25,1003,95.875,3,2,-6,332,302,122,2.7,1,3.5,météo très défavorable
2009-02-03,2,-2,12,-1,0,-2,0.2,95,9,1002,52.375,2,2,-6,329,116,113,0.2,1,7,météo très défavorable
2009-02-04,2,-3,12,-3,1,0,0.6,87,9,1001,59.125,2,0,-7,116,122,266,0,2,3.5,météo très défavorable
2009-02-05,6,3,23,3,5,5,7.5,96,7.5,993,73,6,5,-2,389,296,176,0,1,3.5,météo très défavorable
2009-02-06,9,4,18,4,7,5,2.9,97,7.25,993,57.375,9,6,-0,263,353,143,0,2,5.3,météo très défavorable
2009-02-07,4,2,23,2,4,1,2.4,98,7.625,999,70.5,4,2,-1,266,317,335,0.9,1,5.3,météo très défavorable
2009-02-08,4,0,16,0,4,2,0.5,94,9,1006,63.125,4,1,-3,323,332,329,0.2,2,5.3,météo très défavorable
2009-02-09,9,3,30,3,4,3,20.9,98,6.375,1006,98.25,9,8,-3,296,266,308,1.2,1,3.6,météo très défavorable
2009-02-10,9,3,58,6,3,3,20.9,90,6.375,1011,97.375,9,9,-4,302,320,338,0.8,1,3.6,météo très défavorable
2009-02-11,5,-1,14,-1,5,2,1.2,96,8.5,1017,46.5,5,2,-4,143,116,119,0.2,1,8.7,météo très défavorable
2009-02-12,3,0,21,-0,3,1,2.5,94,6.875,1024,68.25,3,2,-5,323,371,371,2.1,1,5,météo très défavorable
2009-02-13,2,0,17,-0,1,2,2.4,94,6.375,1023,83.75,2,1,-5,338,338,332,2,1,5.2,météo très défavorable
2009-02-14,3,-1,13,-1,2,-2,0.1,94,10,1031,22.875,3,0,-5,323,113,113,0,1,10.5,météo très défavorable
2009-02-15,5,-2,13,-2,5,1,0.3,79,9,1031,47.75,5,0,-5,116,116,116,0,2,10,météo très défavorable
2009-02-16,7,4,15,4,7,6,2.9,98,5.625,1025,95.25,7,6,1,266,119,122,0,2,5.3,météo très défavorable
2009-02-17,7,6,23,6,7,7,3,95,4.875,1024,96.625,7,6,2,122,122,266,0,2,5.3,météo très défavorable
2009-02-18,5,2,11,2,4,1,0.3,90,9,1026,47.5,5,4,-2,119,113,113,0,1,10.6,météo très défavorable
2009-02-19,7,-2,8,-2,6,2,0,72,10,1029,29,7,0,-4,113,116,116,0,2,10.6,météo très défavorable
2009-02-20,9,1,14,1,9,4,0,98,7.5,1032,66.125,9,4,-2,248,119,116,0,3,6.9,météo très défavorable
2009-02-21,8,3,7,3,7,5,0,95,9,1032,66.5,8,4,1,143,122,116,0,3,6.9,météo très défavorable
2009-02-22,7,4,21,4,7,7,0.4,97,8,1030,77.875,7,6,1,122,122,119,0,3,6.9,météo très défavorable
2009-02-23,7,6,15,6,7,6,1,93,8,1024,98.125,7,6,3,122,122,122,0,2,5.4,météo très défavorable
2009-02-24,8,4,13,4,7,4,0.1,93,9,1029,40.5,8,5,1,116,113,113,0,2,10.1,météo très défavorable
2009-02-25,9,0,9,0,8,5,0,92,10,1031,9.5,9,3,-3,113,113,113,0,3,10.8,météo très défavorable
2009-02-26,10,3,19,3,10,6,0,97,9,1028,55.25,10,5,-1,119,122,116,0,2,8.5,météo très défavorable
2009-02-27,9,3,17,3,9,7,0,97,7.75,1023,65.5,9,7,-0,248,122,119,0,3,5.5,météo très défavorable
2009-02-28,12,3,8,3,11,7,0,95,7,1020,38.625,12,6,1,143,116,116,0,2,11,météo très défavorable
2009-03-01,11,5,13,5,11,10,3.5,97,5.75,1010,82.625,11,9,2,143,122,296,0,2,5.5,météo très défavorable
2009-03-02,10,7,14,7,10,5,0.2,93,9,1018,37.75,10,6,5,119,113,113,0,2,11,météo défavorable
