#### EXPORT DONNEES METEO POUR "MONACO" (LAT/LON: 43.7384176/7.4246158)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,9,7,20,7,9,7,2.7,86,9.625,1024,24.875,9,7,6,113,113,113,0,2,8.7,météo défavorable
2009-01-02,10,6,13,6,10,6,0,73,10,1022,15,10,4,3,113,113,113,0,3,8.7,météo défavorable
2009-01-03,6,3,24,3,6,5,0,74,10,1019,5.75,6,2,-2,113,113,113,0,3,8.7,météo très défavorable
2009-01-04,10,3,12,3,7,4,0,68,10,1019,2.75,10,4,0,113,113,113,0,3,8.7,météo très défavorable
2009-01-05,8,5,9,5,8,5,0,84,10,1015,25.75,8,5,5,113,116,116,0,3,8.7,météo très défavorable
2009-01-06,4,3,23,3,4,3,3.8,88,7.5,1012,58.5,4,2,-1,116,263,293,0,2,3.4,météo très défavorable
2009-01-07,4,2,39,2,3,3,24.4,89,6.375,1013,57.875,4,1,-6,338,293,263,10.9,1,6.9,météo très défavorable
2009-01-08,6,3,21,3,6,4,1.4,83,9.125,1024,35.5,6,3,-1,113,116,176,0,1,6.9,météo très défavorable
2009-01-09,7,4,28,4,7,6,1.5,78,9,1026,29.375,7,2,-1,176,113,263,0,2,8.7,météo très défavorable
2009-01-10,9,5,17,5,9,7,0.1,71,10,1027,14.375,9,4,1,113,113,113,0,3,8.7,météo très défavorable
2009-01-11,10,6,15,6,10,8,0,74,10,1029,7.625,10,6,3,113,113,113,0,3,8.7,météo défavorable
