#### EXPORT DONNEES METEO POUR "NANTES" (LAT/LON: 47.218371/-1.553621)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,5,1,23,1,5,2,0,76,10,1025,46.5,5,0,-5,116,116,116,0,2,6.9,météo très défavorable
2009-01-02,4,-1,23,-1,4,-0,0,86,10,1024,16.5,4,0,-6,116,113,113,0,2,8.7,météo très défavorable
2009-01-03,3,-2,27,-2,3,-1,0,87,10,1024,2.5,3,0,-9,113,113,113,0,2,8.7,météo très défavorable
2009-01-04,3,-4,17,-4,2,-4,0,77,10,1025,21,3,0,-10,113,116,119,0,2,8.7,météo très défavorable
2009-01-05,3,-5,13,-5,2,2,1.9,94,7.875,1021,65.5,3,2,-5,116,266,293,0,2,3.3,météo très défavorable
2009-01-06,1,-1,25,-1,1,-4,0.3,83,8.75,1022,63.375,1,0,-7,332,119,113,0.3,1,5.1,météo très défavorable
2009-01-07,1,-7,20,-7,0,-3,0,78,10,1026,10,1,0,-14,113,113,113,0,2,8.7,météo très défavorable
2009-01-08,4,-1,27,-1,4,-3,0.3,95,9.625,1027,25.75,4,0,-7,116,113,113,0.1,2,6.9,météo très défavorable
2009-01-09,3,-5,14,-5,3,-2,0,87,10,1026,4.375,3,0,-11,113,113,113,0,2,8.7,météo très défavorable
2009-01-10,7,-3,15,-3,5,0,0,76,10,1029,2.125,7,0,-9,113,113,113,0,2,8.7,météo très défavorable
2009-01-11,9,0,21,-0,9,5,0,81,10,1031,7.5,9,6,-5,113,113,113,0,3,8.7,météo très défavorable
2009-01-12,10,5,32,5,10,8,1.5,90,9.25,1027,30.875,10,6,1,113,116,263,0,3,8.7,météo très défavorable
2009-01-13,11,7,25,7,11,8,18.4,96,8.375,1017,60.625,11,9,4,302,293,176,0,2,6.9,météo très défavorable
2009-01-14,9,6,12,6,7,7,0.8,96,7.25,1018,45.5,9,7,4,143,266,113,0,3,5.1,météo défavorable
2009-01-15,7,4,23,4,7,4,0,93,10,1015,34,7,3,0,116,113,113,0,3,8.7,météo très défavorable
2009-01-16,12,6,19,6,12,8,0.2,96,10,1019,43.375,12,8,3,119,113,113,0,3,8.7,météo défavorable
2009-01-17,12,9,28,9,12,10,2,91,8.75,1019,49.5,12,9,5,266,176,119,0,4,6.9,météo défavorable
2009-01-18,11,8,39,11,9,8,15.6,86,8.125,1010,78.5,11,10,4,302,116,119,0,2,6.9,météo défavorable
2009-01-19,12,8,41,12,9,6,19.2,87,8.625,1003,77.25,12,9,3,308,122,116,0,2,5.2,météo très défavorable
2009-01-20,8,5,21,5,8,4,1.6,90,9.25,999,47.625,8,4,1,353,116,116,0,3,8.7,météo très défavorable
