#### EXPORT DONNEES METEO POUR "NICE (ALPES-MARITIMES)" (LAT/LON: 43.7101728/7.2619532)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,9,3,19,3,4,7,2.4,85,9.875,1024,23.75,9,6,0,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,9,2,14,2,5,6,0,72,10,1022,11.5,9,4,-1,113,113,113,0,3,8.7,météo très défavorable
2009-01-03,6,0,23,-0,3,5,0,73,10,1019,5.75,6,1,-6,113,113,113,0,2,8.7,météo très défavorable
2009-01-04,9,-1,10,-1,7,4,0,69,10,1019,2.875,10,3,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-05,7,1,8,1,5,5,0,84,10,1015,22.75,7,3,1,113,113,116,0,2,8.7,météo très défavorable
2009-01-06,4,-1,23,-1,-0,3,3.7,87,8.5,1012,57.125,4,2,-7,116,263,317,0,2,3.4,météo très défavorable
2009-01-07,4,-3,40,-3,-2,3,24.9,89,6.375,1013,55.125,4,1,-12,230,299,176,8.6,1,6.9,météo très défavorable
2009-01-08,6,-1,20,-1,2,4,1.3,82,8.625,1024,32.5,6,3,-7,113,116,263,0,1,6.9,météo très défavorable
2009-01-09,7,0,30,-0,3,6,0.4,76,10,1026,26.875,7,1,-7,113,113,116,0,2,8.7,météo très défavorable
2009-01-10,10,4,17,4,7,6,0,70,10,1026,14.625,10,4,-1,113,113,113,0,3,8.7,météo très défavorable
2009-01-11,10,4,14,4,7,7,0,72,10,1029,7.875,10,5,-0,113,113,113,0,3,8.7,météo très défavorable
2009-01-12,10,3,17,3,6,8,0,69,10,1029,4.375,10,5,-2,113,113,113,0,3,8.7,météo très défavorable
2009-01-13,9,2,21,2,5,6,0,67,10,1024,2.75,9,3,-3,113,113,113,0,3,8.7,météo très défavorable
2009-01-14,11,2,9,2,7,9,0,74,10,1013,5.75,11,6,-2,113,113,113,0,3,8.7,météo très défavorable
