#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,-2,9,-2,4,-2,0,96,7,1029,19.625,4,0,-5,143,113,116,0,1,8.6,météo très défavorable
2009-01-02,1,-4,17,-4,1,-2,0,84,10,1027,7.625,1,0,-9,113,113,113,0,2,8.6,météo très défavorable
2009-01-03,1,-3,17,-3,1,-2,0,96,10,1027,25.5,1,0,-9,116,113,113,0,2,8.6,météo très défavorable
2009-01-04,-1,-5,6,-5,-1,-4,0,69,10,1026,34.375,0,0,-7,113,116,113,0,2,6.9,météo très défavorable
2009-01-05,-1,-3,10,-3,-1,-2,5.5,95,6.125,1020,87.5,0,0,-7,119,122,338,4.7,2,3.2,météo très défavorable
2009-01-06,-3,-6,21,-4,-4,-6,0.1,90,9.375,1023,56.625,0,0,-12,116,119,116,0.1,1,5.1,météo très défavorable
2009-01-07,-3,-9,13,-9,-4,-4,0,81,9,1026,17.625,0,0,-15,113,113,116,0,2,8.7,météo très défavorable
2009-01-08,-1,-4,18,-4,-1,-4,0,95,9,1028,17.375,0,0,-10,116,113,113,0,1,8.7,météo très défavorable
2009-01-09,-0,-6,7,-6,-0,-2,0,94,7,1029,2.5,0,0,-10,143,113,113,0,1,8.7,météo très défavorable
2009-01-10,2,-6,8,-6,2,-0,0,88,10,1030,0,2,0,-7,113,113,113,0,2,8.7,météo très défavorable
2009-01-11,3,-3,17,-3,3,-1,0,72,10,1032,5,3,0,-8,113,113,113,0,2,8.7,météo très défavorable
2009-01-12,3,-1,24,-1,3,2,0,87,10,1029,22.875,3,0,-7,113,113,113,0,2,8.7,météo très défavorable
2009-01-13,3,2,18,2,3,2,5.4,89,7.25,1018,76.5,3,3,-3,293,263,296,0,1,6.9,météo très défavorable
2009-01-14,4,2,10,2,4,3,0.2,96,7,1018,73.25,4,4,-1,143,119,143,0,1,3.3,météo très défavorable
2009-01-15,5,0,16,-0,5,2,0,96,9,1019,32,5,1,-5,116,113,116,0,1,8.7,météo très défavorable
2009-01-16,6,1,18,1,4,4,0,87,10,1020,53.25,6,4,-4,116,116,116,0,2,8.7,météo très défavorable
2009-01-17,8,5,26,5,7,7,0.7,96,9,1020,85.875,8,7,0,119,122,122,0,2,3.3,météo très défavorable
2009-01-18,8,6,38,7,8,4,10,92,7.125,1010,70.375,8,7,2,266,299,113,0,2,5.1,météo très défavorable
2009-01-19,9,7,44,7,9,6,11.6,93,7.625,1006,80.25,9,8,1,302,296,263,0,2,3.3,météo défavorable
2009-01-20,5,1,17,1,5,4,0.3,92,9,1000,46.25,5,3,-3,113,119,116,0,2,5.1,météo très défavorable
2009-01-21,5,1,13,1,5,2,0,96,7,1009,47.375,5,2,-2,143,116,116,0,1,6.9,météo très défavorable
2009-01-22,7,3,40,3,5,7,10.6,96,7,1007,94.25,7,7,-4,266,302,122,0,1,3.4,météo très défavorable
2009-01-23,10,6,46,9,7,5,5.9,95,9.375,989,78.125,10,9,0,122,122,176,0,2,3.4,météo défavorable
2009-01-24,6,3,21,3,5,4,0.3,93,7.875,1001,54.5,6,2,-2,122,122,113,0,2,5.2,météo très défavorable
2009-01-25,6,1,29,1,6,4,1,95,7,1000,64.5,6,3,-5,119,116,266,0,2,5.2,météo très défavorable
2009-01-26,7,4,9,4,7,4,0.3,94,7,1007,68,7,4,2,143,116,116,0,2,8.7,météo très défavorable
2009-01-27,6,3,12,3,5,4,0.3,91,8,1016,57.25,6,3,-1,116,266,113,0,1,3.4,météo très défavorable
2009-01-28,5,0,8,-0,5,2,0,95,7,1018,28.625,5,2,-2,143,116,113,0,1,8.7,météo très défavorable
2009-01-29,4,-2,15,-2,4,1,0,88,10,1019,21.125,4,0,-6,116,113,113,0,2,8.7,météo très défavorable
2009-01-30,4,-2,23,-2,3,1,0,88,10,1020,20.375,4,0,-7,113,113,116,0,2,8.7,météo très défavorable
2009-01-31,4,-1,24,-1,4,-0,0,77,10,1014,13,4,0,-7,116,113,113,0,2,8.7,météo très défavorable
2009-02-01,2,-3,28,-3,2,-2,0,81,10,1010,29,2,0,-10,113,113,116,0,2,7,météo très défavorable
2009-02-02,3,-1,19,-1,2,3,10.8,98,7.75,1000,88.25,3,3,-6,338,302,296,1.1,2,3.5,météo très défavorable
2009-02-03,5,-4,10,-4,2,2,0,94,10,1003,18,5,0,-7,113,113,113,0,1,8.7,météo très défavorable
2009-02-04,3,-3,14,-3,3,3,0.8,88,9.875,1001,55.875,3,2,-7,116,122,113,0,2,3.5,météo très défavorable
2009-02-05,8,4,24,4,7,6,5.6,95,9.375,993,67.625,8,6,-1,119,122,116,0,2,5.3,météo très défavorable
2009-02-06,9,3,18,3,8,6,1.3,95,8.5,992,58.625,9,6,-1,200,353,176,0,2,3.5,météo très défavorable
2009-02-07,4,1,25,4,3,1,7.6,93,6.5,1000,74.125,4,3,-4,116,317,338,5.6,1,3.5,météo très défavorable
2009-02-08,5,-1,18,-1,4,1,0.8,96,6.25,1007,53,5,1,-4,143,116,116,0.6,1,9.9,météo très défavorable
2009-02-09,10,2,33,4,4,8,24.4,100,6.5,1007,94.5,10,8,-4,119,296,308,0,1,5,météo très défavorable
2009-02-10,10,4,57,5,5,3,7,88,7.25,1013,82.125,10,8,-3,122,266,182,0,1,6.6,météo très défavorable
