#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,0,6,-0,3,0,0.6,97,4.125,1029,68,3,2,-3,260,119,143,0,1,3.1,météo très défavorable
2009-01-02,1,-4,14,-4,1,-3,0,89,10,1027,16.25,1,0,-7,113,113,113,0,2,8.2,météo très défavorable
2009-01-03,1,-5,13,-5,1,-5,0,84,10,1028,5.5,1,0,-10,113,113,113,0,2,8.3,météo très défavorable
2009-01-04,-2,-8,6,-8,-2,-5,0,88,10,1026,34.75,0,0,-8,116,116,116,0,2,8.3,météo très défavorable
2009-01-05,-2,-8,7,-8,-2,-5,0.1,77,9.375,1020,77.75,0,0,-12,119,122,122,0.1,1,3.1,météo très défavorable
2009-01-06,-3,-5,19,-5,-3,-5,0.6,91,7.75,1021,80.875,0,0,-12,122,332,329,0.5,1,3.1,météo très défavorable
2009-01-07,-3,-9,12,-9,-3,-8,0,98,6.5,1025,21,0,0,-13,260,113,113,0,1,8.3,météo très défavorable
2009-01-08,-2,-8,18,-8,-2,-6,0,91,10,1029,1,0,0,-15,113,113,113,0,2,8.3,météo très défavorable
2009-01-09,-1,-8,5,-8,-1,-7,0,88,10,1032,2.125,0,0,-10,113,113,113,0,2,8.3,météo très défavorable
2009-01-10,2,-8,4,-8,2,-5,0,90,10,1032,0.5,2,0,-12,113,113,113,0,2,8.4,météo très défavorable
2009-01-11,4,-7,12,-7,4,-4,0,69,10,1035,0,4,0,-12,113,113,113,0,2,8.4,météo très défavorable
2009-01-12,4,-5,13,-5,4,-2,0,62,10,1033,5.375,4,0,-10,113,113,116,0,2,8.4,météo très défavorable
2009-01-13,6,-1,11,-1,6,-1,0,76,10,1023,25.875,6,0,-5,116,113,113,0,2,8.4,météo très défavorable
2009-01-14,2,-3,10,-3,1,-1,1.8,96,7.75,1020,52.625,2,1,-7,113,122,317,0,2,3.3,météo très défavorable
2009-01-15,4,0,9,0,4,-2,0.1,94,8,1023,27.75,4,1,-3,323,113,143,0.1,1,8.7,météo très défavorable
2009-01-16,5,-4,12,-4,5,-1,0,95,7,1025,17,5,0,-8,143,113,113,0,1,8.7,météo très défavorable
2009-01-17,5,1,18,1,5,2,0.1,87,10,1024,52,5,3,-3,116,119,116,0,2,5.1,météo très défavorable
2009-01-18,6,3,39,3,6,4,6.3,93,9.5,1018,71.25,6,4,-2,116,119,302,0,2,3.3,météo très défavorable
2009-01-19,8,3,34,4,6,7,7.4,92,7.75,1012,72.75,8,7,-1,116,302,293,0,3,3.4,météo très défavorable
2009-01-20,6,2,13,2,6,1,2.1,93,8.75,1003,48.25,6,4,-2,119,116,116,0,1,8.7,météo très défavorable
2009-01-21,6,0,6,-0,5,-0,0.1,94,8,1012,43.75,6,3,-2,116,122,143,0,2,5.1,météo très défavorable
2009-01-22,5,-1,19,-1,5,1,0.9,95,8.875,1012,22.5,5,0,-6,113,113,116,0,2,8.7,météo très défavorable
2009-01-23,8,3,48,3,8,4,25,92,8,996,82.25,8,7,-1,116,308,302,0,3,3.4,météo très défavorable
2009-01-24,5,1,13,1,5,0,0,97,7,999,39.375,5,2,-2,143,116,143,0,1,8.7,météo très défavorable
2009-01-25,7,-1,12,-1,7,-0,0,96,7,1003,14.25,7,3,-4,143,113,113,0,1,8.7,météo très défavorable
2009-01-26,7,-3,4,-3,7,-0,0,92,9,1006,20.875,7,0,-6,116,113,113,0,1,8.7,météo très défavorable
2009-01-27,4,-4,9,-4,4,-1,0,93,10,1018,9.75,4,0,-7,113,113,113,0,2,8.7,météo très défavorable
2009-01-28,3,-3,13,-3,3,-0,0,93,9,1019,7.5,3,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-29,4,-3,14,-3,4,-1,0,96,7,1022,10.375,4,0,-7,143,113,113,0,1,8.7,météo très défavorable
2009-01-30,4,-3,15,-3,4,-1,0,94,9,1022,9.75,4,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-31,2,-4,16,-4,2,-3,0,86,10,1020,0,2,0,-8,113,113,113,0,2,8.7,météo très défavorable
2009-02-01,1,-4,17,-4,1,-3,0.1,89,9.625,1013,42.375,1,0,-9,116,113,119,0.1,2,5.3,météo très défavorable
2009-02-02,5,0,11,-0,4,1,2.8,85,8.375,1003,45.875,5,0,-4,311,119,113,1,1,7,météo très défavorable
2009-02-03,9,-2,5,-2,9,-0,0,91,10,1000,26.75,9,1,-2,113,113,116,0,2,8.7,météo très défavorable
2009-02-04,5,0,11,-0,4,2,0.2,93,7.375,1000,39.125,5,2,-1,116,116,113,0,1,7,météo très défavorable
2009-02-05,8,0,15,0,4,2,2.6,93,10,998,27.625,8,5,-4,113,386,113,0,2,8.7,météo très défavorable
2009-02-06,7,4,9,4,7,4,11.7,93,6.875,997,68.75,7,5,1,302,116,299,0,1,7,météo très défavorable
2009-02-07,4,2,8,2,4,2,11.7,100,6.5,994,83.125,4,4,1,296,296,266,0,1,5.4,météo très défavorable
2009-02-08,2,-2,12,-2,2,0,1.4,92,7.125,1010,76.5,2,0,-6,332,332,116,1.2,1,5.4,météo très défavorable
2009-02-09,4,-1,21,-1,3,2,3.4,86,9,1012,65.375,4,3,-7,116,119,119,0.2,2,3.7,météo très défavorable
2009-02-10,7,4,48,7,4,2,13.9,91,8,1008,83,7,6,-3,119,302,317,0.1,1,3.7,météo très défavorable
2009-02-11,3,0,15,-0,3,-0,0.8,91,7.125,1017,73.875,3,0,-5,338,116,116,0.7,1,3.8,météo très défavorable
2009-02-12,2,0,19,0,2,-3,5,93,5.5,1023,69.875,2,0,-4,338,371,371,4.3,1,8.7,météo très défavorable
2009-02-13,2,-5,8,-5,2,-3,0.1,98,8.625,1022,39.875,2,0,-8,326,116,116,0,1,7.1,météo très défavorable
2009-02-14,2,-2,13,-2,2,-3,3.2,94,5.25,1030,55.625,2,0,-6,338,335,179,2.7,1,5.4,météo très défavorable
2009-02-15,2,-7,6,-7,2,-5,0,98,6.25,1032,29.375,2,0,-7,260,113,116,0,1,8.7,météo très défavorable
2009-02-16,2,-5,16,-5,1,-2,3.1,93,6.5,1027,79.75,2,1,-10,338,338,122,2,2,3.8,météo très défavorable
2009-02-17,2,0,19,0,2,1,21.8,100,7.75,1024,91.375,2,2,-5,302,302,296,0.3,1,3.8,météo très défavorable
2009-02-18,1,-7,11,-7,0,-2,0.3,91,9.375,1029,15.375,1,0,-11,116,113,113,0.3,1,8.7,météo très défavorable
2009-02-19,3,-6,7,-6,2,-4,0,85,10,1030,14.25,3,0,-8,113,116,113,0,2,8.7,météo très défavorable
2009-02-20,4,-3,14,-3,3,-0,1,84,7.25,1031,89.875,4,1,-8,122,317,266,0.1,1,3.9,météo très défavorable
2009-02-21,6,-1,8,-1,6,-2,1.3,98,8.5,1032,56.75,6,4,-3,317,116,116,0,1,10.7,météo très défavorable
2009-02-22,3,0,18,0,3,2,6.9,98,5.75,1031,83.25,3,3,-4,302,296,266,0,2,5.4,météo très défavorable
2009-02-23,5,2,15,2,5,2,3.5,97,4.25,1023,87.875,5,4,-1,263,266,266,0,1,7,météo très défavorable
2009-02-24,5,0,12,0,5,2,0.9,96,6.625,1028,66.375,5,3,-3,317,119,143,0,1,10.1,météo très défavorable
2009-02-25,8,-3,6,-3,8,1,0,93,8.875,1031,6.75,8,3,-5,113,113,113,0,1,10.9,météo très défavorable
2009-02-26,7,-1,13,-1,7,2,0.1,93,10,1030,47,7,3,-6,116,116,116,0,2,10.1,météo très défavorable
2009-02-27,9,2,15,2,8,4,0.5,94,7,1023,80,9,5,-2,266,122,119,0,2,7,météo très défavorable
2009-02-28,12,2,7,2,11,5,0,97,5.5,1021,49,12,8,-0,248,116,116,0,2,11,météo très défavorable
2009-03-01,12,3,20,3,12,7,0.5,95,7.75,1013,34.625,12,7,-1,113,116,263,0,2,11,météo très défavorable
2009-03-02,9,5,11,5,9,6,2.4,96,3.75,1018,78.75,9,7,3,266,266,266,0,2,5.5,météo très défavorable
2009-03-03,10,-1,8,-1,10,5,0.3,94,8.375,1019,28.625,10,3,-1,113,116,113,0,2,11.1,météo très défavorable
2009-03-04,11,2,15,2,11,5,0.2,96,9.375,1006,37.125,11,4,-2,116,113,116,0,3,11.1,météo très défavorable
2009-03-05,3,2,16,2,3,2,15.8,100,7,989,94,3,3,-2,122,320,338,6.5,1,5.6,météo très défavorable
2009-03-06,2,1,15,1,2,0,31.7,100,5.25,1007,98.25,2,2,-3,320,338,320,11.1,1,5.6,météo très défavorable
2009-03-07,7,-2,9,-2,7,4,2,97,8.125,1017,58.125,7,3,-5,260,116,119,1.6,1,8.7,météo très défavorable
2009-03-08,7,1,25,1,6,6,3.2,92,7.875,1017,62.625,7,6,-4,113,119,296,0,2,5.8,météo très défavorable
2009-03-09,6,2,24,2,5,3,7.3,92,9.125,1019,58.375,6,4,-3,362,353,353,0,1,10.2,météo très défavorable
2009-03-10,5,3,28,3,4,3,8.8,96,6.5,1020,91.125,5,4,-2,119,266,302,0,1,5.9,météo très défavorable
2009-03-11,7,0,13,-0,6,3,2.1,96,9.5,1027,58.125,7,4,-4,371,119,113,0.2,1,8.7,météo très défavorable
2009-03-12,7,-1,18,-1,7,5,2.2,85,7.875,1028,62.625,7,5,-5,116,119,296,0,2,7.3,météo très défavorable
2009-03-13,11,4,10,4,10,3,1.4,96,6,1024,71.375,11,8,1,266,266,116,0,2,8.8,météo très défavorable
2009-03-14,14,2,12,2,13,9,0.2,96,7,1021,36.25,14,8,-1,143,116,113,0,3,11.6,météo correcte
2009-03-15,11,4,15,4,11,6,0.7,94,8.375,1031,45.5,11,6,2,143,119,119,0,2,7.4,météo très défavorable
2009-03-16,12,1,8,1,11,5,0,97,6,1033,30.5,12,6,-1,143,116,113,0,2,10.2,météo très défavorable
2009-03-17,13,1,13,1,13,6,0,96,7,1034,19.875,13,6,-0,143,116,113,0,2,11.6,météo très défavorable
2009-03-18,12,1,13,1,12,4,0,91,8,1035,22.125,12,3,-2,113,113,116,0,2,11.6,météo très défavorable
2009-03-19,11,0,22,0,11,2,0,62,10,1028,10.5,11,0,-1,113,113,113,0,3,11.6,météo très défavorable
2009-03-20,6,-1,24,-1,6,1,0,90,10,1031,5.25,6,0,-5,113,113,113,0,2,11.6,météo très défavorable
2009-03-21,8,-3,14,-3,8,-1,0,61,10,1032,14.625,8,0,-6,113,113,113,0,2,11.6,météo très défavorable
2009-03-22,11,-2,14,-2,11,4,0,60,10,1029,16.375,11,3,-5,113,113,113,0,3,11.6,météo très défavorable
2009-03-23,12,1,32,1,11,7,0.6,87,7,1027,56.125,12,5,-4,116,116,122,0,2,10.2,météo très défavorable
2009-03-24,7,1,24,1,6,2,9.4,91,6,1015,71.125,7,4,-3,338,353,353,1.5,1,6.1,météo très défavorable
2009-03-25,4,1,31,1,3,4,13.1,97,7.25,1015,87.75,4,4,-4,329,296,389,1.4,1,6.1,météo très défavorable
2009-03-26,8,3,24,3,8,7,8,94,8.125,1012,85.75,8,6,-1,353,296,296,0,2,7.5,météo très défavorable
2009-03-27,7,6,20,6,7,7,4.8,94,6,1007,81.625,7,6,2,296,296,263,0,2,6.2,météo très défavorable
2009-03-28,8,6,26,6,8,6,6.2,93,8.875,1007,50.625,8,7,3,296,299,113,0,3,8.9,météo très défavorable
